48597425,-100,-100,-100,0.0063934326,0.0090789795,-0.0033721924,-100,-100,-100,-100
48597446,1.2250519,-0.22285461,8.5392,-100,-100,-100,-100,-100,-100,-100
48597459,-100,-100,-100,-100,-100,-100,-100,-100,-100,1604.0
48597467,-100,-100,-100,-100,-100,-100,-7.621765,-3.4301758,-56.947327,-100
48597558,-100,-100,-100,-100,-100,-100,-100,-100,-100,1611.0
48597613,1.2223969,-0.24931335,8.588364,-100,-100,-100,-100,-100,-100,-100
48597626,-100,-100,-100,0.0064086914,-0.003982544,0.0059509277,-100,-100,-100,-100
48597668,-100,-100,-100,-100,-100,-100,-7.8674316,-2.9953003,-56.41327,-100
48597769,-100,-100,-100,-100,-100,-100,-7.5302124,-2.9968262,-56.79779,-100
48597824,-100,-100,-100,-0.0070648193,-0.003829956,-0.00642395,-100,-100,-100,-100
48597858,-100,-100,-100,-100,-100,-100,-100,-100,-100,1604.0
48597864,1.2403259,-0.23376465,8.483887,-100,-100,-100,-100,-100,-100,-100
48597959,-100,-100,-100,-100,-100,-100,-100,-100,-100,1611.0
48597976,-100,-100,-100,-100,-100,-100,-7.571411,-3.3111572,-56.46057,-100
48598023,-100,-100,-100,0.024642944,-0.015029907,0.01625061,-100,-100,-100,-100
48598029,1.2478333,-0.26930237,8.619568,-100,-100,-100,-100,-100,-100,-100
48598057,-100,-100,-100,-100,-100,-100,-100,-100,-100,1617.0
48598173,-100,-100,-100,-100,-100,-100,-7.6293945,-2.909851,-56.840515,-100
48598196,1.2236176,-0.2106781,8.501236,-100,-100,-100,-100,-100,-100,-100
48598225,-100,-100,-100,0.009216309,8.239746E-4,-0.011047363,-100,-100,-100,-100
48598374,-100,-100,-100,-100,-100,-100,-7.3165894,-2.1011353,-56.578064,-100
48598425,-100,-100,-100,0.0107421875,-0.0022583008,0.0076904297,-100,-100,-100,-100
48598447,1.2154846,-0.18685913,8.513748,-100,-100,-100,-100,-100,-100,-100
48598458,-100,-100,-100,-100,-100,-100,-100,-100,-100,1631.0
48598560,-100,-100,-100,-100,-100,-100,-100,-100,-100,1617.0
48598574,-100,-100,-100,-100,-100,-100,-7.357788,-1.9332886,-56.929016,-100
48598613,1.295105,-0.24806213,8.627731,-100,-100,-100,-100,-100,-100,-100
48598622,-100,-100,-100,0.0011901855,0.0022277832,6.4086914E-4,-100,-100,-100,-100
48598758,-100,-100,-100,-100,-100,-100,-100,-100,-100,1611.0
48598777,-100,-100,-100,-100,-100,-100,-7.2784424,-2.3452759,-57.35321,-100
48598823,-100,-100,-100,0.012008667,0.002319336,-0.0063171387,-100,-100,-100,-100
48598858,-100,-100,-100,-100,-100,-100,-100,-100,-100,1617.0
48598865,1.2376556,-0.23085022,8.546219,-100,-100,-100,-100,-100,-100,-100
48598957,-100,-100,-100,-100,-100,-100,-100,-100,-100,1624.0
48598980,-100,-100,-100,-100,-100,-100,-6.918335,-3.1097412,-57.76367,-100
48599023,-100,-100,-100,0.015029907,-7.4768066E-4,2.89917E-4,-100,-100,-100,-100
48599032,1.2176819,-0.1893158,8.494736,-100,-100,-100,-100,-100,-100,-100
48599180,-100,-100,-100,-100,-100,-100,-7.344055,-2.0935059,-57.91931,-100
48599229,-100,-100,-100,0.0069274902,-0.006149292,-0.0033874512,-100,-100,-100,-100
48599261,-100,-100,-100,-100,-100,-100,-100,-100,-100,1617.0
48599282,1.2228241,-0.1910553,8.553452,-100,-100,-100,-100,-100,-100,-100
48599357,-100,-100,-100,-100,-100,-100,-100,-100,-100,1624.0
48599385,-100,-100,-100,-100,-100,-100,-7.4554443,-2.1697998,-57.673645,-100
48599420,-100,-100,-100,0.011367798,-0.0048980713,0.004058838,-100,-100,-100,-100
48599445,1.2105408,-0.1947937,8.579041,-100,-100,-100,-100,-100,-100,-100
48599584,-100,-100,-100,-100,-100,-100,-7.3425293,-1.9775391,-57.687378,-100
48599612,1.246994,-0.19500732,8.64122,-100,-100,-100,-100,-100,-100,-100
48599620,-100,-100,-100,0.0050964355,-0.003768921,-0.0014801025,-100,-100,-100,-100
48599759,-100,-100,-100,-100,-100,-100,-100,-100,-100,1631.0
48599786,-100,-100,-100,-100,-100,-100,-7.574463,-1.7364502,-57.614136,-100
48599819,-100,-100,-100,0.0059051514,0.003616333,0.002243042,-100,-100,-100,-100
48599857,-100,-100,-100,-100,-100,-100,-100,-100,-100,1624.0
48599863,1.2384186,-0.16770935,8.575287,-100,-100,-100,-100,-100,-100,-100
48599958,-100,-100,-100,-100,-100,-100,-100,-100,-100,1638.0
48599989,-100,-100,-100,-100,-100,-100,-7.3516846,-2.4780273,-58.029175,-100
48600019,-100,-100,-100,0.0012207031,-0.003326416,-1.5258789E-4,-100,-100,-100,-100
48600029,1.2614441,-0.16601563,8.607727,-100,-100,-100,-100,-100,-100,-100
